site,plot,plant_date,block,pd,rate,seedlings,canopy_ratio,weed1,weed2,weed3,rye_g,rye_bio,weed_g,weed_bio,sp1,sp2,sp3
md,303,nov10,3,3,120,28,0.6723,LAMAM,VICVI,STEME,73.9,2956,73,2920,VICVI,,
md,304,nov10,3,3,90,29,0.639,LAMAM,speedwell,STEME,97.7,3908,83.3,3332,VICVI,CAPBP,
md,305,nov10,3,3,0,0,0.6424,speedwell,STEME,LAMPU,0,0,148.9,5956,VICVI,THLAR,CAPBP
md,306,nov10,3,3,60,22,0.5886,LAMAM,speedwell,STEME,62.7,2508,29.3,1172,VICVI,CAPBP,speedwell
md,307,oct10,3,1,120,68,0.9184,LAMAM,STEME,LAMPU,288.8,11552,6,240,VICVI,,
md,308,oct10,3,1,0,0,0.6107,LAMAM,LAMPU,STEME,0,0,113.1,4524,VICVI,CAPBP,THLAR
md,309,oct10,3,1,60,41,0.6817,LAMAM,STEME,speedwell,194.7,7788,11.1,444,VICVI,STEME,VIOAR
md,310,oct10,3,1,90,55,0.7064,speedwell,LAMPU,STEME,190.9,7636,2.27,90.8,VICVI,speedwell,STEME
md,311,oct10,3,1,15,8,0.7912,speedwell,LAMAM,STEME,144.4,5776,30.6,1224,VICVI,CAPBP,speedwell
md,312,oct10,3,1,30,23,0.8935,speedwell,STEME,VICVI,250.2,10008,42,1680,VICVI,VIOAR,STEME
md,313,oct21,3,2,90,76,0.796,speedwell,LAMAM,unknown 2,158.5,6340,29.1,1164,VICVI,STEME,POATR
md,314,oct21,3,2,60,47,0.9088,speedwell,LAMAM,STEME,205.2,8208,6.17,246.8,VICVI,POATR,STEME
md,315,oct21,3,2,30,20,0.7972,speedwell,LAMAM,STEME,246.9,9876,16.27,650.8,VICVI,CAPBP,POATR
md,316,oct21,3,2,0,0,0.4938,unknown 2,speedwell,THLAR,0,0,88.8,3552,CAPBP,THLAR,VICVI
md,317,oct21,3,2,120,89,0.7305,speedwell,unknown,THLAR,181,7240,11.77,470.8,CAPBP,STEME,POATR
md,318,oct21,3,2,15,8,0.512,speedwell,unknown 2,unknown 1,140,5600,29,1160,CAPBP,THLAR,speedwell
ny,1.1,nov4,1,3,60,13,0.2733,grass 1 ,grass 2,,73.3,2932,0,0,grass,CHEAL,
ny,1.2,sep30 ,1,1,120,89,0.7059,-,,,205.2,8208,7,280,grass,bedstraw,oxalis
ny,1.3,oct21,1,2,90,74,0.3613,dock,chamomile,,103.1,4124,5.6,224,DAUCA,TAROF,grass 1
ny,1.4,nov4,2,3,120,5,0.1514,grass,CIRAR,,44.6,1784,12.7,508,grass,CIRAR,TAROF
ny,1.5,oct21,2,2,120,76,0.2798,grass 1 ,,,80.7,3228,6,240,grass,ragweed,
ny,1.6,sep30 ,2,1,120,59,0.6159,grass 1 ,LOTCO,,150.6,6024,13.1,524,grass,LOTCO,
ny,1.7,oct21,3,2,30,30,0.2486,grass,,,90,3600,7.5,300,grass,,
ny,1.8,sep30 ,3,1,0,0,0.1379,MELAL,CIRAR,grass,0,0,77.2,3088,MELAL,grass,CIRAR
ny,1.9,nov4,3,3,120,12,0.2229,CIRAR,,,72.2,2888,7.7,308,CIRAR,aster,
ny,2.1,nov4,1,3,15,6,0.1362,grass,baby broadleaves,,38.7,1548,15.5,620,grass,ragweed,clover
ny,2.2,sep30 ,1,1,90,48,0.601,grass 1 ,grass 2,,134.5,5380,26.9,1076,orchard grass,fescue,ragweed
ny,2.3,oct21,1,2,15,14,0.2453,golden rod,grass,,86.2,3448,8.4,336,grass,GLEHE,
ny,2.4,nov4,2,3,30,1,0.1113,grass 1 ,,,47.9,1916,16.6,664,timothy grass,grass,
ny,2.5,oct21,2,2,60,52,0.2635,-,,,83.5,3340,4.9,196,TRFRE,CIRAR,grass
ny,2.6,sep30 ,2,1,60,26,0.5087,TRFRE,grass,,131.5,5260,20.4,816,TRFRE,bedstraw,grass
ny,2.7,oct21,3,2,60,54,0.2693,CIRAR,grass,,77.3,3092,4.8,192,CIRAR,grass,
ny,2.8,sep30 ,3,1,90,57,0.7306,TAROF,,,143.5,5740,20.2,808,TAROF,CIRAR,bedstraw
ny,2.9,nov4,3,3,60,7,0.2933,TAROF,golden rod,,77.4,3096,15.6,624,TAROF,goldenrod,bedstraw
ny,3.1,nov4,1,3,30,2,0.2289,grass,broadleaf,,89.3,3572,9.2,368,grass,ragweed,bedstraw
ny,3.2,sep30 ,1,1,15,6,0.2292,TAROF,chamomile,,49.5,1980,14,560,grass 1,TAROF,DAUCA
ny,3.3,oct21,1,2,0,0,0.019,grass 1 ,TAROF,,0,0,16.8,672,grass 1,TAROF,DAUCA
ny,3.4,nov4,2,3,15,4,0.1444,bedstraw,TAROF,DAUCA,26.6,1064,24,960,bedstraw,TAROF,DAUCA
ny,3.5,oct21,2,2,15,15,0.1718,TAROF,,,68.9,2756,5,200,chamomile,bedstraw,
ny,3.6,sep30 ,2,1,90,36,0.5567,TAROF,grass,bedstraw,167.2,6688,9.3,372,grass,bedstraw,TAROF
ny,3.7,oct21,3,2,120,108,0.3963,grass 1 ,TAROF,,115,4600,6.7,268,TAROF,,
ny,3.8,sep30 ,3,1,30,33,0.5812,TAROF,golden rod,,139.5,5580,14.3,572,goldenrod,bedstraw,TAROF
ny,3.9,nov4,3,3,15,3,0.1897,grass ,TAROF,,52.9,2116,14.8,592,TAROF,grass,
ny,4.1,nov4,1,3,90,16,0.372,CIRAR,grass,,97.2,3888,21.3,852,grass 1,grass 2,aster
ny,4.2,sep30 ,1,1,0,0,0.0499,CIRAR,grass,,0,0,37.8,1512,grass 1,CIRAR,TAROF
ny,4.3,oct21,1,2,120,86,0.3872,TAROF,grass,,122.6,4904,8.5,340,TAROF,,
ny,4.4,nov4,2,3,90,8,0.1752,TAROF,forget-me-not,,45.8,1832,17.2,688,TAROF,aster,
ny,4.5,oct21,2,2,90,80,0.2506,TAROF,grass,,99.3,3972,4.6,184,,,
ny,4.6,sep30 ,2,1,15,21,0.432,DAUCA,TAROF,grass,76.7,3068,30.7,1228,grass,aster,DAUCA
ny,4.7,oct21,3,2,0,0,0.0157,grass,golden rod,,0,0,11.5,460,grass goldenrod,CHEAL,
ny,4.8,sep30 ,3,1,120,83,0.6276,grass,,,166.3,6652,6.3,252,grass,bedstraw,
ny,4.9,nov4,3,3,30,3,0.1417,TAROF,golden rod,grass,46,1840,11.7,468,golden rod,TAROF,grass
ny,5.1,nov4,1,3,120,6,0.1287,TAROF,grass,,68.4,2736,7.5,300,grass,TAROF,bedstraw
ny,5.2,sep30 ,1,1,60,9,0.0898,grass,chamomile,,38.8,1552,10.6,424,grass,chamomile,
ny,5.3,oct21,1,2,60,41,0.2664,grass 1 ,,,93.2,3728,4.8,192,grass,,
ny,5.4,nov4,2,3,60,10,0.3232,BARVU,TAROF,grass,35.9,1436,**,#VALUE!,,,
ny,5.5,oct21,2,2,30,22,0.2217,grass,,,82,3280,7.5,300,grass,,
ny,5.6,sep30 ,2,1,30,22,0.4872,grass 1 ,TAROF,,146.3,5852,14.1,564,bedstraw,strawberries,plantain
ny,5.7,oct21,3,2,15,13,0.0927,grass 1 ,,,44.7,1788,5.4,216,grass,bedstraw,clover
ny,5.8,sep30 ,3,1,60,36,0.6154,TAROF,chamomile,dock,118.3,4732,24.4,976,TAROF,dock,chamomile
ny,5.9,nov4,3,3,0,2,0.0454,golden rod,TAROF,grass,0,0,22.1,884,grass 1,grass 2,goldenrod
ny,6.1,nov4,1,3,0,2,0.0327,TAROF,grass,aster,0,0,19.3,772,grass ,aster,TAROF
ny,6.2,sep30 ,1,1,30,18,0.5805,grass 1 ,,,150.6,6024,**,#VALUE!,,,
ny,6.3,oct21,1,2,30,27,0.2863,grass,,,111.8,4472,**,#VALUE!,,,
ny,6.4,nov4,2,3,0,0,0.006,daisy,grass,,0,0,12.8,512,daisy,grass,
ny,6.5,oct21,2,2,0,0,0.0004,-,,,0,0,5.9,236,grass,CHEAL,bedstraw
ny,6.6,sep30 ,2,1,0,0,0.0844,grass 1 ,TAROF,chamomile?,0,0,35.9,1436,grass 1,grass 2,CIRAR
ny,6.7,oct21,3,2,90,97,0.4779,grass,TAROF,,140.1,5604,7,280,TAROF,grass,
ny,6.8,sep30 ,3,1,15,8,0.3815,grass,VIOAR?,,88.7,3548,8.1,324,VIOAR?,grass,bedstraw
ny,6.9,nov4,3,3,90,14,0.3232,golden rod,,,70.5,2820,18.1,724,goldenrod,grass,TAROF
pa,101,oct22,1,2,0,0,0.0156,THLAR,CERVU,,0,0,7.8,312,LEPCA,SETFA,VIOAR
pa,102,oct22,1,2,30,48,0.1075,THLAR,,,85.6,3424,0.237,9.48,LEPCA,CERVU,
pa,103,oct22,1,2,90,82,0.4798,THLAR,VERAR,,150.1,6004,0.786,31.44,LEPCA,VERAR,
pa,104,oct22,1,2,15,26,0.093,THLAR,,,101,4040,1.182,47.28,LEPCA,CCTLA,VIOAR
pa,105,oct22,1,2,60,48,0.2925,THLAR,CARHI,,125.8,5032,0.883,35.32,LEPCA,CARHI,
pa,106,oct22,1,2,120,146,0.3266,CERVU,,,158,6320,0,0,CARHI,SETFA,
pa,107,nov11,1,3,120,58,0.1096,NA,,,82.8,3312,0.008,0.32,SETFA,VIOAR,
pa,108,nov11,1,3,0,0,0.0074,THLAR,,,0,0,10.4,416,SETFA,VIOAR,VERAR
pa,109,nov11,1,3,30,31,0.0669,NA,,,85.8,3432,0,0,VERPG,SETFA,
pa,110,nov11,1,3,60,26,0.0377,NA,,,76.3,3052,0.18,7.2,SETFA,VERAR,VIOAR
pa,111,nov11,1,3,90,87,0.2333,NA,,,87.4,3496,0.036,1.44,VERAR,SETFA,
pa,112,nov11,1,3,15,15,0.0225,NA,,,68.3,2732,0.209,8.36,VIOAR,VERAR,SETFA
pa,113,oct7,1,1,90,77,0.358,THLAR,,,139.2,5568,1.683,67.32,LEPCA,VIOAR,VERAR
pa,114,oct7,1,1,120,125,0.2899,THLAR,,,118.5,4740,0.911,36.44,LEPCA,VERAR,STEME
pa,115,oct7,1,1,60,39,0.3756,THLAR,VERAR,CERVU,137.9,5516,1.935,77.4,LEPCA,CCTLA,VERAR
pa,116,oct7,1,1,0,0,0.03,THLAR,CARHI,,0,0,14,560,LEPCA,VIOAR,CERVU
pa,117,oct7,1,1,15,14,0.0569,THLAR,VERAR,CERVU,48.7,1948,11.4,456,LEPCA,CERVU,SETFA
pa,118,oct7,1,1,30,53,0.2784,THLAR,CARHI,VIOAR,149.8,5992,0.728,29.12,VIOAR,LEPCA,CERVU
pa,201,nov11,2,3,90,8,0.0618,THLAR,VERAR,CERVU,68.3,2732,0.809,32.36,LEPCA,CERVU,
pa,202,nov11,2,3,15,7,0.0144,NA,,,40.8,1632,0.032,1.28,SETFA,,
pa,203,nov11,2,3,30,18,0.026,THLAR,,,65.2,2608,0.012,0.48,CERVU,,
pa,204,nov11,2,3,120,84,0.2,CARHI,CERVU,,99.1,3964,0.403,16.12,LEPCA,SETFA,CERVU
pa,205,nov11,2,3,0,0,0.0064,THLAR,CARHI,,0,0,5,200,SETFA,VERAR,LEPCA
pa,206,nov11,2,3,60,29,0.0625,VERSE,,,92.8,3712,0.294,11.76,VERAR,,
pa,207,oct7,2,1,30,36,0.0721,THLAR,VIOAR,CERVU,79.8,3192,6.6,264,LEPCA,CERVU,VIOAR
pa,208,oct7,2,1,15,20,0.0235,THLAR,VIOAR,ERPVE,53.3,2132,6.8,272,LEPCA,VIOAR,CERVU
pa,209,oct7,2,1,60,70,0.5103,THLAR,VERAR,CARHI,168.4,6736,0.015,0.6,CERVU,SETFA,
pa,210,oct7,2,1,120,78,0.3969,THLAR,,,179.7,7188,0.027,1.08,VIOAR,SETFA,
pa,211,oct7,2,1,90,74,0.4843,THLAR,CERVU,CARHI,178.4,7136,4.8,192,LEPCA,VIOAR,SETFA
pa,212,oct7,2,1,0,0,0.0115,THLAR,VIOAR,CARHI,0,0,10.6,424,VIOAR,LEPCA,ERICA
pa,213,oct22,2,2,15,11,0.041,THLAR,CERVU,CARHI,77.3,3092,3.7,148,VIOAR,SETFA,LEPCA
pa,214,oct22,2,2,60,52,0.1332,NA,,,70.8,2832,0.108,4.32,SETFA,VIOAR,
pa,215,oct22,2,2,120,86,0.3994,THLAR,CARHI,CERVU,151.8,6072,0.089,3.56,LEPCA,CERVU,VIOAR
pa,216,oct22,2,2,90,128,0.2112,NA,,,100.6,4024,0.07,2.8,VIOAR,VERAR,
pa,217,oct22,2,2,30,27,0.2353,CARHI,VERAR,,137.1,5484,0.598,23.92,CERVU,VERAR,
pa,218,oct22,2,2,0,0,0.0018,CERVU,,,0,0,2.7,108,CERVU,SETFA,VIOAR
pa,301,nov11,3,3,0,0,0.0011,CARHI,VIOAR,,0,0,3.9,156,SETFA,VIOAR,CERVU
pa,302,nov11,3,3,90,32,0.0267,NA,,,42.8,1712,0.559,22.36,VERAR,SETFA,
pa,303,nov11,3,3,30,8,0.0217,VIOAR,VERSE,,53.5,2140,0.198,7.92,VIOAR,SETFA,
pa,304,nov11,3,3,60,29,0.0457,NA,,,78,3120,0,0,SETFA,,
pa,305,nov11,3,3,15,18,0.0219,CARHI,VIOAR,,68.2,2728,1.7,68,VIOAR,SETFA,GERPU
pa,306,nov11,3,3,120,93,0.1424,VERAR,VIOAR,,112.6,4504,0.527,21.08,VIOAR,VERAR,SETFA
pa,307,oct7,3,1,15,20,0.1244,THLAR,CARHI,,55.6,2224,13.1,524,VIOAR,LEPCA,GERPU
pa,308,oct7,3,1,0,0,0.0744,THLAR,CARHI,,0,0,21,840,LEPCA,VIOAR,SETFA
pa,309,oct7,3,1,90,56,0.3316,THLAR,CERVU,,131.4,5256,3.1,124,VIOAR,CERVU,VERAR
pa,310,oct7,3,1,30,16,0.1491,THLAR,,,114.5,4580,0.148,5.92,VERAR,VIOAR,SETFA
pa,311,oct7,3,1,60,52,0.2866,THLAR,VIOAR,GERPU,95.3,3812,11.8,472,GERPU,CERVU,VIOAR
pa,312,oct7,3,1,120,100,0.351,CARHI,,,161.8,6472,0.07,2.8,VIOAR,,
pa,313,oct22,3,2,120,110,0.3227,THLAR,CARHI,CERVU,161.9,6476,0.631,25.24,VIOAR,CERVU,VERAR
pa,314,oct22,3,2,60,73,0.1749,VIOAR,,,95.1,3804,0.081,3.24,VIOAR,SETFA,
pa,315,oct22,3,2,30,25,0.1605,THLAR,CERVU,,132.4,5296,1.198,47.92,VIOAR,CERVU,LEPCA
pa,316,oct22,3,2,90,48,0.0954,VERAR,,,89.4,3576,0,0,SETFA,VIOAR,
pa,317,oct22,3,2,15,10,0.0385,THLAR,CARHI,,65.3,2612,0.67,26.8,VIOAR,LEPCA,CERVU
pa,318,oct22,3,2,0,0,0,NA,,,0,0,1.6,64,SETFA,VIOAR,CERVU
vt,101,sep20,1,1,30,19,0.3883,STEME,brassica,,140.81,5632.404544,9.84,393.6,STEME,CIRVU,
vt,102,sep20,1,1,120,94,0.6058,,,,237.84,9513.74308,3.99,159.6,MELAL,,
vt,103,sep20,1,1,60,47,0.522,STEME,TAROF,,187.82,7512.8758,4.52,180.8,MELAL,STEME,
vt,104,sep20,1,1,0,0,0.0844,STEME,brassica,CERVU,0,0,54.88,2195.2,soapwort,PLAMA,STEME
vt,105,sep20,1,1,15,12,0.3147,STEME,PLALA,,126.05,5041.890704,13.71,548.4,STEME,,
vt,106,sep20,1,1,90,71,0.5714,PLALA,,,168.57,6742.996452,3.62,144.8,TRFPR,STEME,
vt,113,oct7,1,2,30,12,0.0675,,,,53.24,2129.756118,1.67,66.8,bindweed,,
vt,114,oct7,1,2,0,0,0.0001,TAROF,,,0,0,5.84,233.6,CAPBP,CIRVU,CHEAL
vt,115,oct7,1,2,120,65,0.4501,,,,179.63,7185.053672,1.07,42.8,STEME,bindweed,
vt,116,oct7,1,2,60,32,0.3145,,,,171.07,6842.644052,0.12,4.8,STEME,,
vt,117,oct7,1,2,90,62,0.4176,,,,153.91,6156.239588,0.81,32.4,TRFPR,,
vt,118,oct7,1,2,15,3,0.0417,STEME,,,68.96,2758.2997,3.2,128,STEME,STEME,
vt,125,oct20,1,3,90,22,0.0295,,,,69.22,2768.731273,2.04,81.6,STEME,TAROF,
vt,126,oct20,1,3,30,13,0.0115,STEME,,,64.85,2593.964379,4.4,176,STEME,CHEAL,clover
vt,127,oct20,1,3,15,5,0.0011,STEME,,,20.26,810.2828708,11.17,446.8,STEME,CHEAL,
vt,128,oct20,1,3,60,20,0.0117,,,,77.93,3117.205867,0.47,18.8,CHEAL,STEME,
vt,129,oct20,1,3,0,0,0.0001,STEME,,,0,0,3.74,149.6,PLAMA,CERVU,TAROF
vt,130,oct20,1,3,120,43,0.0178,,,,94.4,3776.024096,2.36,94.4,STEME,PLAMA,CHEAL
vt,201,sep20,2,1,0,0,0.0257,PLALA,,,0,0,23.13,925.2,CAPBP,MELAL,CIRVU
vt,202,sep20,2,1,30,20,0.2389,STEME,CERVU,,96.93,3877.243435,2.01,80.4,MELAL,TRFPR,
vt,203,sep20,2,1,90,76,0.3696,PLALA,,,165.71,6628.333568,6.11,244.4,MELAL,STEME,
vt,204,sep20,2,1,120,75,0.3685,TAROF,,,141.96,5678.269696,1.12,44.8,STEME,,
vt,205,sep20,2,1,60,42,0.3178,STEME,,,116.3,4652.036904,4.15,166,MELAL,,
vt,206,sep20,2,1,15,12,0.2506,STEME,CERVU,,117.55,4701.99716,2.96,118.4,CERVU,,
vt,213,oct7,2,2,0,0,0.0006,STEME,,,0,0,11.96,478.4,STEME,TRFPR,CIRVU
vt,214,oct7,2,2,30,19,0.1868,,,,122.89,4915.797336,0.71,28.4,TAROF,,
vt,215,oct7,2,2,90,67,0.4442,,,,149.92,5996.924,0.7,28,,,
vt,216,oct7,2,2,120,64,0.3652,,,,129.99,5199.553456,0.13,5.2,TRFPR,,
vt,217,oct7,2,2,15,4,0.0387,,,,55.05,2201.88407,0.51,20.4,CHEAL,bindweed,TRFPR
vt,218,oct7,2,2,60,39,0.2837,,,,161.14,6445.544012,0.26,10.4,STEME,,
vt,225,oct20,2,3,15,1,0.0008,STEME,,,12.95,517.9455212,5.36,214.4,TAROF,STEME,CHEAL
vt,226,oct20,2,3,120,27,0.0215,,,,63.76,2550.537454,1.84,73.6,CHEAL,STEME,
vt,227,oct20,2,3,30,11,0.0127,,,,51.21,2048.479832,4.68,187.2,CHEAL,AGRRE,STEME
vt,228,oct20,2,3,90,34,0.0215,TRFPR,,,92.97,3718.827658,1.76,70.4,TRFPR,bindweed,CHEAL
